Timestamp,Terminal,MemberId,Action,Result,Message
2026-06-04T17:30:57.636,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T17:30:58.529,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T17:30:59.047,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-04T17:31:00.178,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-04T17:31:08.807,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-04T17:31:08.807 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-04T17:31:09.746,ACCESS,0001E240,CHECK_IN_T1,DENIED,ACCESS DENIED: Card is not present in the access terminal Active List snapshot.
2026-06-04T17:31:16.25,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-04T17:31:18,MASTER,0001E240,INITIALIZE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-04T17:31:25.923,MASTER,0001E240,INSTALL_CERTIFICATE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-04T17:31:26.667,MASTER,0001E240,PERSONALIZE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-04T17:31:29.544,ADMIN,0001E240,READ_STATUS,SUCCESS,Card 0001E240 | BackendStatus=UNKNOWN | Expiry=N/A | Package=N/A | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T17:31:38.266,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-04T17:31:39.922,ADMIN,0001E240,ACTIVATE,DENIED,ERROR: Could not verify card before activation: Inserted card certificate belongs to 00003039; not requested member 0001E240
2026-06-04T17:31:52.316,ADMIN,0001E240,READ_STATUS,SUCCESS,Card 0001E240 | BackendStatus=UNKNOWN | Expiry=N/A | Package=N/A | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T17:33:41.797,ADMIN,0001E240,RENEW,DENIED,ERROR: Member 0001E240 is not registered
2026-06-04T17:33:53.172,ADMIN,0001E240,ACTIVATE,DENIED,ERROR: Could not verify card before activation: Inserted card certificate belongs to 00003039; not requested member 0001E240
2026-06-04T17:34:02.843,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-04T17:34:12.671,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=NOT_SYNCED
2026-06-04T17:34:22.71,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-04T17:34:24.968,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-04T17:34:24.968 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-04T17:34:25.492,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T17:34:27.789,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T17:34:28.393,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-04T17:34:29.778,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-04T17:34:31.977,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T17:34:36.632,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-04T17:34:38.981,ADMIN,00003039,RENEW,SUCCESS,Membership for card 00003039 renewed until 20271231
2026-06-04T17:34:44.061,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-04T17:34:45.889,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-04T17:34:46.976,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-05T16:02:28.598,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T16:02:33.896,ADMIN,000004D2,READ_STATUS,SUCCESS,Card 000004D2 | BackendStatus=INACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=true | Gateway=SIMULATOR | CardSession=false | AppletActive=false | AccessCache=NOT_SYNCED
2026-06-05T16:02:46.303,MASTER,000004D2,INITIALIZE,DENIED,ERROR: Card 000004D2 is BLOCKED. Cannot initialize.
2026-06-05T16:02:51.212,MASTER,0000303A,INITIALIZE,SUCCESS,Master Terminal initialized simulator card 0000303A with package STANDARD.
2026-06-05T16:02:53.151,MASTER,0000303A,PERSONALIZE,SUCCESS,Card 0000303A personalized with package STANDARD.
2026-06-05T16:02:54.341,MASTER,0000303A,INSTALL_CERTIFICATE,SUCCESS,Certificate installed for simulator card 0000303A.
2026-06-05T16:02:56.312,MASTER,0000303A,LOAD_ISSUER_DATA,SUCCESS,Issuer public data loaded on simulator card 0000303A.
2026-06-05T16:02:57.672,ADMIN,0000303A,READ_STATUS,SUCCESS,Card 0000303A | BackendStatus=INITIALIZED | Expiry=N/A | Package=STANDARD | Blocked=false | Gateway=SIMULATOR | CardSession=true | AppletActive=false | AccessCache=NOT_SYNCED
2026-06-05T16:03:37.014,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T16:03:40.306,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-05T16:03:40.306 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-05T16:03:53.494,ADMIN,00003039,READ_STATUS,DENIED,ERROR: No card was inserted in reader 'OMNIKEY AG Smart Card Reader USB 0' within 10000 ms
2026-06-05T16:03:58.637,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T16:04:12.903,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20271231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-05T16:04:24.182,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T16:04:28.555,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20271231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=NOT_SYNCED
2026-06-05T16:04:39.871,ADMIN,,VIEW_BLOCKED_CARDS,SUCCESS,--- Blocked Cards --- ID: 0000007B | Reported At: 2026-04-29T19:08:38.053 ID: 000004D2 | Reported At: 2026-04-29T19:08:38.053
2026-06-05T16:04:46.263,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T16:04:49.788,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-05T16:04:49.788 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-05T16:04:51.468,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-05T16:04:52.396,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-05T16:04:52.893,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-05T16:04:53.505,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20271231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-05T16:15:20.274,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T16:16:22.775,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T16:16:31.468,ADMIN,0001E240,READ_STATUS,SUCCESS,Card 0001E240 | BackendStatus=UNKNOWN | Expiry=N/A | Package=N/A | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=NOT_SYNCED
2026-06-05T16:16:40.092,MASTER,0001E240,INITIALIZE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-05T16:16:45.939,MASTER,0012D687,INITIALIZE,DENIED,ERROR: Failed to provision physical card 0012D687: Private key initialization failed with SW=6985
2026-06-05T16:17:12.686,MASTER,00003039,INITIALIZE,DENIED,ERROR: Failed to provision physical card 00003039: Private key initialization failed with SW=6985
2026-06-05T16:17:14.259,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20271231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=NOT_SYNCED
2026-06-05T16:17:22.372,MASTER,0001E240,LOAD_ISSUER_DATA,SUCCESS,Issuer public data loaded on hardware card 0001E240.
2026-06-05T16:17:23.602,MASTER,0001E240,INITIALIZE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-05T16:17:25.465,MASTER,0001E240,INSTALL_CERTIFICATE,DENIED,ERROR: Failed to provision physical card 0001E240: Private key initialization failed with SW=6985
2026-06-05T16:17:30.061,MASTER,0012D687,INSTALL_CERTIFICATE,DENIED,ERROR: Failed to provision physical card 0012D687: Private key initialization failed with SW=6985
2026-06-05T16:17:36.308,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T16:19:53.296,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T16:19:57.106,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-05T16:19:57.106 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-05T16:19:58.313,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-05T16:19:59.517,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [00003039]
2026-06-05T16:20:25.736,ACCESS,000004D2,CHECK_IN_T1,DENIED,ACCESS DENIED: Card is in the access terminal Block List snapshot.
2026-06-05T16:20:27.56,ACCESS,000004D2,CHECK_IN_T1,DENIED,ACCESS DENIED: Card is in the access terminal Block List snapshot.
2026-06-05T16:20:39.872,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T16:20:42.902,ADMIN,00003039,ACTIVATE,SUCCESS,Card 00003039 activated until 20261231. Phone linked: N/A
2026-06-05T16:20:45.209,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-05T16:20:51.751,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T16:20:54.619,MASTER,00003039,INITIALIZE,DENIED,ERROR: Failed to provision physical card 00003039: Private key initialization failed with SW=6985
